               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067748,            0.027669,             0.07718,             0.18764,             0.21834,             0.05768,            0.025935,            0.036754,            0.010175,            0.065698,            0.070098,           0.0033225,           0.0033225
                   1,            0.044266,            0.023295,            0.070937,              0.4076,             0.16834,              0.1403,            0.077479,            0.032732,           0.0086097,            0.060778,            0.040071,           0.0066295,           0.0066295
                   2,            0.042606,            0.022242,            0.064171,             0.30115,             0.30623,             0.21049,             0.11342,            0.031798,           0.0088875,            0.052233,            0.010019,             0.00991,             0.00991
                   3,            0.040162,            0.022293,            0.059901,               0.279,             0.35679,             0.24682,             0.13335,            0.032282,           0.0088696,            0.050654,           0.0098812,           0.0098812,           0.0098812
                   4,            0.038358,            0.021815,            0.056504,             0.34802,             0.44887,             0.32824,             0.17902,            0.031474,           0.0087341,            0.049845,           0.0098812,           0.0098812,           0.0098812
                   5,            0.037552,             0.02158,            0.053098,             0.31914,             0.55031,             0.37994,             0.22746,            0.030522,           0.0082443,            0.046721,           0.0098416,           0.0098416,           0.0098416
                   6,            0.036605,            0.021227,            0.050423,             0.38182,             0.54368,             0.44556,             0.23261,            0.031361,           0.0084171,            0.041221,            0.009802,            0.009802,            0.009802
                   7,            0.035999,            0.020953,            0.047898,             0.42932,             0.48647,             0.43996,             0.24328,            0.029856,           0.0084119,            0.044839,           0.0097624,           0.0097624,           0.0097624
                   8,             0.03576,            0.020663,            0.046637,             0.41905,             0.54157,             0.45406,             0.25369,             0.02957,           0.0082224,            0.042036,           0.0097228,           0.0097228,           0.0097228
                   9,             0.03552,             0.02081,            0.044731,             0.45031,             0.53847,             0.48155,             0.27833,            0.029806,           0.0084715,            0.042779,           0.0096832,           0.0096832,           0.0096832
                  10,            0.035467,            0.020741,            0.042729,             0.45475,             0.51193,             0.49452,             0.28934,            0.030052,            0.008353,            0.037547,           0.0096436,           0.0096436,           0.0096436
                  11,            0.034922,            0.020361,            0.041963,             0.45153,             0.50225,             0.46608,             0.26912,            0.029885,           0.0082548,            0.039666,            0.009604,            0.009604,            0.009604
                  12,            0.034664,            0.020564,            0.040824,             0.52087,             0.55024,             0.51692,             0.30346,            0.029667,           0.0085203,            0.036211,           0.0095644,           0.0095644,           0.0095644
                  13,            0.034595,            0.020489,            0.038781,             0.41612,             0.58103,             0.48415,             0.29139,            0.028307,           0.0083295,            0.039051,           0.0095248,           0.0095248,           0.0095248
                  14,            0.034411,            0.020277,            0.038909,             0.58622,             0.56791,             0.57426,             0.33931,            0.029477,           0.0078164,            0.034664,           0.0094852,           0.0094852,           0.0094852
                  15,            0.033993,            0.019928,            0.037219,             0.61168,             0.55402,             0.58384,             0.33097,            0.029064,           0.0083102,            0.035408,           0.0094456,           0.0094456,           0.0094456
                  16,            0.034089,            0.020145,            0.037216,             0.59549,             0.57967,             0.57171,             0.34149,            0.027606,           0.0082821,            0.032009,            0.009406,            0.009406,            0.009406
                  17,            0.033748,             0.01976,            0.036015,             0.54758,             0.56281,             0.56249,             0.33159,              0.0282,           0.0082698,            0.040879,           0.0093664,           0.0093664,           0.0093664
                  18,            0.033369,            0.019768,            0.035229,              0.5368,             0.62678,             0.56954,              0.3308,            0.027571,           0.0082123,            0.037669,           0.0093268,           0.0093268,           0.0093268
                  19,            0.033582,             0.01954,            0.035062,             0.52468,             0.63082,             0.59887,             0.35818,            0.027409,           0.0080926,             0.03639,           0.0092872,           0.0092872,           0.0092872
                  20,            0.032706,            0.019615,            0.033549,             0.72025,              0.4972,             0.59499,             0.35728,            0.028234,           0.0079954,            0.035585,           0.0092476,           0.0092476,           0.0092476
                  21,            0.032923,            0.019453,            0.032378,             0.64186,             0.56035,             0.57454,             0.35186,            0.026961,           0.0079678,              0.0348,            0.009208,            0.009208,            0.009208
                  22,            0.032443,            0.019507,            0.032063,             0.57314,             0.59081,             0.59657,             0.36205,            0.026362,           0.0080541,            0.031819,           0.0091684,           0.0091684,           0.0091684
                  23,            0.032532,            0.019224,            0.031159,             0.56154,             0.66544,             0.63573,             0.38576,            0.025944,           0.0079156,             0.02983,           0.0091288,           0.0091288,           0.0091288
